NumPlanes,LargestPlaneCount,AveragePlaneCount,AverageNumVertsPerPlane,AverageTextureSize,memManagementUS,preprocessingUS,segmentationUS,quadtreeUS,PipelineUS
1,74876,74876,7707,524288,1734,1683,2116,3211,8744
1,76963,76963,8003,524288,1795,1704,2145,3023,8667
1,79367,79367,8488,524288,1729,1680,2184,3071,8664
1,82387,82387,8752,524288,1848,1692,2217,3314,9071
1,83450,83450,8963,524288,1769,1688,2218,3198,8873
1,81489,81489,8685,524288,1748,1696,2166,3239,8849
1,79650,79650,8571,524288,1791,1681,2144,3264,8880
1,77397,77397,8678,524288,1971,1691,2112,3161,8935
1,78782,78782,8512,524288,1751,1686,2166,3133,8736
1,81297,81297,8190,524288,1734,1682,2157,3119,8692
1,87536,87536,7182,524288,1757,1696,2153,3038,8644
1,94661,94661,7015,524288,2838,1718,2177,3455,10188
1,102783,102783,6761,524288,2398,1803,2231,3207,9639
1,106950,106950,15715,1048576,3039,1722,2141,6314,13216
1,110697,110697,17587,1048576,3585,1888,2375,5899,13747
1,115430,115430,18894,1048576,3938,2005,2132,5912,13987
1,122510,122510,18429,1048576,4479,1935,2130,6043,14587
1,131514,131514,18404,1048576,5493,1916,2112,5765,15286
1,140003,140003,18339,1048576,2945,1882,2131,5936,12894
1,147031,147031,17643,1048576,3029,1714,2140,5699,12582
1,154702,154702,18841,1048576,2736,1902,2135,5854,12627
1,165771,165771,18873,1048576,2905,1813,2464,5723,12905
1,177329,177329,17866,1048576,2862,1805,2166,6218,13051
1,189170,189170,16748,1048576,2682,1751,2176,5886,12495
1,198682,198682,17236,1048576,3506,1714,2209,6769,14198
1,205854,205854,16648,1048576,2794,1843,2237,5954,12828
1,211501,211501,16332,1048576,2849,2095,2470,5945,13359
1,216852,216852,15778,1048576,3122,1991,2166,5846,13125
1,221070,221070,13831,1048576,3462,1912,2200,6083,13657
1,221518,221518,13675,1048576,5759,2083,2225,6957,17024
1,220191,220191,13676,1048576,2869,1958,2135,6175,13137
1,218488,218488,12974,1048576,3606,2042,2246,5948,13842
1,215201,215201,13290,1048576,3197,2097,2159,6332,13785
1,211974,211974,14074,1048576,4918,2050,2235,6091,15294
1,208237,208237,14383,1048576,3110,1944,2162,6569,13785
1,201638,201638,14609,1048576,3284,1927,2172,6242,13625
1,195066,195066,14641,1048576,2766,2061,2132,6458,13417
1,190310,190310,14097,1048576,4242,1854,2327,6235,14658
1,184941,184941,13854,1048576,3082,2149,2234,6079,13544
1,180931,180931,13314,1048576,3211,2136,2400,5727,13474
1,177328,177328,12830,1048576,3016,1798,2174,5896,12884
1,173844,173844,13333,1048576,2774,1975,2141,5664,12554
1,169478,169478,12899,1048576,2820,1976,2136,5757,12689
1,164313,164313,13558,1048576,3127,2003,2202,5948,13280
1,161081,161081,13393,1048576,3039,1996,2242,6305,13582
1,154715,154715,13724,1048576,2866,1970,2312,6490,13638
1,149180,149180,12723,1048576,3046,1920,2210,5600,12776
1,138788,138788,11208,1048576,2794,1978,2150,5538,12460
1,124470,124470,9964,524288,2979,1910,2209,3769,10867
1,116391,116391,9996,524288,1963,1783,2204,3665,9615
1,105946,105946,9667,524288,1713,1684,2075,3460,8932
1,72230,72230,8661,524288,1810,1807,2075,3367,9059
0,0,0,0,0,1899,1737,2038,137,5811
1,75919,75919,3819,524288,567,1647,2154,3131,7499
1,36867,36867,15027,1048576,1902,1698,2122,5231,10953
1,56614,56614,5711,524288,2873,1781,2073,3396,10123
1,51845,51845,5129,1048576,1748,1670,2119,5185,10722
1,45177,45177,4345,262144,2689,1725,2072,2039,8525
1,45371,45371,4332,262144,1288,1765,2132,2201,7386
1,48286,48286,3657,262144,1518,1789,2228,2225,7760
1,47643,47643,3377,262144,1407,1665,2203,2309,7584
1,46853,46853,3855,262144,1423,1702,2210,2174,7509
1,27523,27523,4379,131072,1606,1738,2202,1599,7145
1,45873,45873,4195,262144,1073,1661,2180,1968,6882
1,45898,45898,3914,524288,1448,1665,2154,3288,8555
1,46356,46356,4217,524288,2005,1704,2142,3016,8867
1,48424,48424,4256,524288,1747,1683,2150,3044,8624
1,51100,51100,4290,524288,1702,1697,2219,3159,8777
1,54678,54678,4467,524288,1776,1775,2266,3412,9229
1,55521,55521,4625,524288,1802,1727,2160,3137,8826
1,57330,57330,4633,524288,1873,1760,2127,3245,9005
1,60124,60124,4774,524288,1752,1691,2198,3170,8811
1,64818,64818,4684,524288,1727,1694,2218,3198,8837
1,67863,67863,4895,524288,1948,1779,2206,3327,9260
1,71418,71418,4485,524288,1731,1681,2175,3378,8965
1,72150,72150,4680,524288,1963,1761,2189,3288,9201
1,67799,67799,4425,524288,1793,1718,2239,3243,8993
1,61749,61749,4167,524288,1830,1753,2189,3194,8966
1,55880,55880,3855,524288,1985,1688,2200,3151,9024
1,51621,51621,3796,262144,1893,1690,2156,2104,7843
1,46935,46935,3327,262144,1423,1677,2133,1878,7111
1,45750,45750,3415,262144,1560,1730,2156,2318,7764
1,48327,48327,4705,262144,1622,1660,2187,1948,7417
1,58151,58151,5051,262144,1284,1662,2176,2031,7153
1,66829,66829,5444,262144,1334,1680,2076,1982,7072
1,74193,74193,5312,262144,1278,1662,2152,2005,7097
1,82676,82676,5620,524288,1317,1690,2085,2999,8091
1,94666,94666,6715,524288,1790,1697,2093,3341,8921
1,107715,107715,7370,524288,1841,1774,2082,3460,9157
1,120100,120100,7228,524288,1868,1757,2205,3390,9220
